PERIF,KOMMA,PSIFOI2023,PSIFOI2019
Σερρών,ΕΑΝ...,388,0
Σερρών,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,363,1370
Σερρών,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,361,0
Σερρών,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,345,0
Σερρών,ΑΝΤ.ΑΡ.ΣΥ.Α.,318,299
Σερρών,Τ.ΟΛ.ΜΑ,313,0
Σερρών,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,281,361
Σερρών,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,266,0
Σερρών,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,259,0
Σερρών,ΚΚΕ (μ-λ),171,106
Σερρών,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,160,0
Σερρών,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,108,0
Σερρών,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,71,0
Σερρών,Μ-Λ ΚΚΕ,41,26
Σερρών,Ο.Κ.Δ.Ε.,34,33
Σερρών,ΟΑΚΚΕ,9,0
Σερρών,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Σερρών,ΝΕΑ ΔΟΜΗ,0,0
Σερρών,Κ.Ο.Τ.Ε.Σ.,0,0
Σερρών,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Σερρών,SOCIAL,0,0
Σερρών,Ανεξάρτητοι,0,0
Σερρών,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,225080,-
Σερρών,ΑΚΥΡΑ,2235,-
Σερρών,ΛΕΥΚΑ,502,-
Σερρών,ΕΓΚΥΡΑ,111289,-
Σερρών,ΣΥΜΜΕΤΟΧΗ,114026,-
Κιλκίς,ΝΔ,22172,23281
Κιλκίς,ΠΑΣΟΚ-Κίνημα Αλλαγής,9469,6163
Κιλκίς,ΣΥΡΙΖΑ-ΠΣ,7450,12765
Κιλκίς,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,3784,2835
Κιλκίς,ΚΚΕ,3518,2777
Κιλκίς,ΝΙΚΗ,2865,0
Κιλκίς,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,1344,770
Κιλκίς,ΜέΡΑ25,993,1486
Κιλκίς,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,456,405
Κιλκίς,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,329,0
Κιλκίς,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,290,0
Κιλκίς,Κίνημα 21,279,0
Κιλκίς,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,262,0
Κιλκίς,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,208,738
Κιλκίς,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,191,0
Κιλκίς,ΑΝΤ.ΑΡ.ΣΥ.Α.,164,133
Κιλκίς,Τ.ΟΛ.ΜΑ,151,0
Κιλκίς,ΕΑΝ...,151,0
Κιλκίς,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,96,0
Κιλκίς,ΚΚΕ (μ-λ),96,62
Κιλκίς,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,84,0
Κιλκίς,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,80,249
Κιλκίς,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,59,0
Κιλκίς,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,42,0
Κιλκίς,Μ-Λ ΚΚΕ,33,38
Κιλκίς,Ο.Κ.Δ.Ε.,29,14
Κιλκίς,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,0,0
Κιλκίς,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Κιλκίς,ΟΑΚΚΕ,0,0
Κιλκίς,ΝΕΑ ΔΟΜΗ,0,0
Κιλκίς,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,0,0
Κιλκίς,Κ.Ο.Τ.Ε.Σ.,0,0
Κιλκίς,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Κιλκίς,SOCIAL,0,0
Κιλκίς,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,0,0
Κιλκίς,Ανεξάρτητοι,0,0
Κιλκίς,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,101040,-
Κιλκίς,ΑΚΥΡΑ,931,-
Κιλκίς,ΛΕΥΚΑ,234,-
Κιλκίς,ΕΓΚΥΡΑ,54599,-
Κιλκίς,ΣΥΜΜΕΤΟΧΗ,55764,-
Πέλλας,ΝΔ,36333,36148
Πέλλας,ΣΥΡΙΖΑ-ΠΣ,16831,24375
Πέλλας,ΠΑΣΟΚ-Κίνημα Αλλαγής,11566,7956
Πέλλας,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,6287,4786
Πέλλας,ΝΙΚΗ,5421,0
Πέλλας,ΚΚΕ,3334,2212
Πέλλας,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2162,1370
Πέλλας,ΜέΡΑ25,1354,2136
Πέλλας,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,698,828
Πέλλας,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,473,0
Πέλλας,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,434,0
Πέλλας,Κίνημα 21,432,0
Πέλλας,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,414,0
Πέλλας,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,386,1317
Πέλλας,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,375,382
Πέλλας,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,375,0
Πέλλας,ΑΝΤ.ΑΡ.ΣΥ.Α.,337,253
Πέλλας,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,250,0
Πέλλας,ΕΑΝ...,199,0
Πέλλας,Τ.ΟΛ.ΜΑ,189,0
Πέλλας,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,154,0
Πέλλας,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,125,0
Πέλλας,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,109,0
Πέλλας,ΚΚΕ (μ-λ),105,102
Πέλλας,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,77,0
Πέλλας,Ο.Κ.Δ.Ε.,38,28
Πέλλας,Μ-Λ ΚΚΕ,31,28
Πέλλας,ΟΑΚΚΕ,14,0
Πέλλας,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,0,0
Πέλλας,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Πέλλας,ΝΕΑ ΔΟΜΗ,0,0
Πέλλας,Κ.Ο.Τ.Ε.Σ.,0,0
Πέλλας,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Πέλλας,SOCIAL,0,0
Πέλλας,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,0,0
Πέλλας,Ανεξάρτητοι,0,0
Πέλλας,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,145384,-
Πέλλας,ΑΚΥΡΑ,1666,-
Πέλλας,ΛΕΥΚΑ,380,-
Πέλλας,ΕΓΚΥΡΑ,88499,-
Πέλλας,ΣΥΜΜΕΤΟΧΗ,90545,-
Ημαθίας,ΝΔ,34285,33787
Ημαθίας,ΣΥΡΙΖΑ-ΠΣ,14806,21742
Ημαθίας,ΠΑΣΟΚ-Κίνημα Αλλαγής,9509,6643
Ημαθίας,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,6552,4535
Ημαθίας,ΚΚΕ,4873,3770
Ημαθίας,ΝΙΚΗ,3831,0
Ημαθίας,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2372,1382
Ημαθίας,ΜέΡΑ25,1630,2465
Ημαθίας,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,646,632
Ημαθίας,Κίνημα 21,596,0
Ημαθίας,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,586,0
Ημαθίας,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,581,0
Ημαθίας,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,431,0
Ημαθίας,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,429,0
Ημαθίας,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,415,0
Ημαθίας,ΕΑΝ...,342,0
Ημαθίας,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,332,0
Ημαθίας,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,292,1122
Ημαθίας,ΑΝΤ.ΑΡ.ΣΥ.Α.,269,225
Ημαθίας,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,185,0
Ημαθίας,Τ.ΟΛ.ΜΑ,164,0
Ημαθίας,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,150,302
Ημαθίας,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,141,0
Ημαθίας,ΚΚΕ (μ-λ),114,79
Ημαθίας,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,119,0
Ημαθίας,Μ-Λ ΚΚΕ,80,55
Ημαθίας,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,76,0
Ημαθίας,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,50,0
Ημαθίας,Ο.Κ.Δ.Ε.,29,25
Ημαθίας,ΟΑΚΚΕ,9,0
Ημαθίας,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Ημαθίας,ΝΕΑ ΔΟΜΗ,0,0
Ημαθίας,Κ.Ο.Τ.Ε.Σ.,0,0
Ημαθίας,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Ημαθίας,SOCIAL,0,0
Ημαθίας,Ανεξάρτητοι,0,0
Ημαθίας,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,135000,-
Ημαθίας,ΑΚΥΡΑ,1763,-
Ημαθίας,ΛΕΥΚΑ,370,-
Ημαθίας,ΕΓΚΥΡΑ,83889,-
Ημαθίας,ΣΥΜΜΕΤΟΧΗ,86022,-
Πιερίας,ΝΔ,31913,35775
Πιερίας,ΣΥΡΙΖΑ-ΠΣ,11904,17590
Πιερίας,ΠΑΣΟΚ-Κίνημα Αλλαγής,9664,6424
Πιερίας,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,5870,4318
Πιερίας,ΝΙΚΗ,5796,0
Πιερίας,ΚΚΕ,4035,3000
Πιερίας,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,1896,1131
Πιερίας,ΜέΡΑ25,1600,2093
Πιερίας,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,701,595
Πιερίας,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,688,0
Πιερίας,Κίνημα 21,506,0
Πιερίας,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,467,0
Πιερίας,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,460,0
Πιερίας,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,385,0
Πιερίας,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,292,1033
Πιερίας,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,287,0
Πιερίας,ΑΝΤ.ΑΡ.ΣΥ.Α.,186,146
Πιερίας,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,166,0
Πιερίας,Τ.ΟΛ.ΜΑ,152,0
Πιερίας,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,141,195
Πιερίας,ΚΚΕ (μ-λ),140,97
Πιερίας,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,108,0
Πιερίας,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,99,0
Πιερίας,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,71,0
Πιερίας,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,52,0
Πιερίας,Μ-Λ ΚΚΕ,45,35
Πιερίας,Ο.Κ.Δ.Ε.,29,13
Πιερίας,ΟΑΚΚΕ,10,0
Πιερίας,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,0,0
Πιερίας,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Πιερίας,ΝΕΑ ΔΟΜΗ,0,0
Πιερίας,Κ.Ο.Τ.Ε.Σ.,0,0
Πιερίας,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Πιερίας,SOCIAL,0,0
Πιερίας,ΕΑΝ...,0,0
Πιερίας,Ανεξάρτητοι,0,0
Πιερίας,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,131540,-
Πιερίας,ΑΚΥΡΑ,1503,-
Πιερίας,ΛΕΥΚΑ,350,-
Πιερίας,ΕΓΚΥΡΑ,77663,-
Πιερίας,ΣΥΜΜΕΤΟΧΗ,79516,-
Φλώρινας,ΝΔ,12254,12701
Φλώρινας,ΣΥΡΙΖΑ-ΠΣ,7952,11556
Φλώρινας,ΠΑΣΟΚ-Κίνημα Αλλαγής,4216,2031
Φλώρινας,ΚΚΕ,1572,1000
Φλώρινας,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,1515,2367
Φλώρινας,ΝΙΚΗ,1292,0
Φλώρινας,ΜέΡΑ25,751,904
Φλώρινας,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,660,357
Φλώρινας,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,292,0
Φλώρινας,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,265,169
Φλώρινας,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,172,0
Φλώρινας,ΑΝΤ.ΑΡ.ΣΥ.Α.,156,85
Φλώρινας,Ανεξάρτητοι,155,0
Φλώρινας,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,137,0
Φλώρινας,Κίνημα 21,135,0
Φλώρινας,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,109,0
Φλώρινας,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,97,359
Φλώρινας,ΕΑΝ...,97,0
Φλώρινας,Τ.ΟΛ.ΜΑ,67,0
Φλώρινας,ΚΚΕ (μ-λ),62,44
Φλώρινας,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,43,0
Φλώρινας,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,32,0
Φλώρινας,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,32,0
Φλώρινας,ΟΑΚΚΕ,25,0
Φλώρινας,Ο.Κ.Δ.Ε.,20,13
Φλώρινας,Μ-Λ ΚΚΕ,20,13
Φλώρινας,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,15,0
Φλώρινας,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,0,0
Φλώρινας,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Φλώρινας,ΝΕΑ ΔΟΜΗ,0,0
Φλώρινας,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,0,0
Φλώρινας,Κ.Ο.Τ.Ε.Σ.,0,0
Φλώρινας,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Φλώρινας,SOCIAL,0,0
Φλώρινας,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,0,0
Φλώρινας,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,0,0
Φλώρινας,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,87268,-
Φλώρινας,ΑΚΥΡΑ,616,-
Φλώρινας,ΛΕΥΚΑ,175,-
Φλώρινας,ΕΓΚΥΡΑ,32145,-
Φλώρινας,ΣΥΜΜΕΤΟΧΗ,32935,-
Κοζάνης,ΝΔ,35994,35891
Κοζάνης,ΣΥΡΙΖΑ-ΠΣ,19323,28606
Κοζάνης,ΠΑΣΟΚ-Κίνημα Αλλαγής,12307,9387
Κοζάνης,ΚΚΕ,5709,4225
Κοζάνης,ΝΙΚΗ,4559,0
Κοζάνης,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,4178,3656
Κοζάνης,ΜέΡΑ25,2102,2700
Κοζάνης,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2099,1264
Κοζάνης,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,912,0
Κοζάνης,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,699,672
Κοζάνης,Κίνημα 21,669,0
Κοζάνης,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,644,0
Κοζάνης,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,531,0
Κοζάνης,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,412,1305
Κοζάνης,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,392,0
Κοζάνης,ΑΝΤ.ΑΡ.ΣΥ.Α.,369,315
Κοζάνης,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,342,0
Κοζάνης,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,314,374
Κοζάνης,Τ.ΟΛ.ΜΑ,261,0
Κοζάνης,ΚΚΕ (μ-λ),230,141
Κοζάνης,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,224,0
Κοζάνης,ΕΑΝ...,216,0
Κοζάνης,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,188,0
Κοζάνης,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,182,0
Κοζάνης,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,133,0
Κοζάνης,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,75,0
Κοζάνης,Μ-Λ ΚΚΕ,47,30
Κοζάνης,Ο.Κ.Δ.Ε.,46,27
Κοζάνης,ΟΑΚΚΕ,15,0
Κοζάνης,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,0,0
Κοζάνης,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Κοζάνης,ΝΕΑ ΔΟΜΗ,0,0
Κοζάνης,Κ.Ο.Τ.Ε.Σ.,0,0
Κοζάνης,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Κοζάνης,SOCIAL,0,0
Κοζάνης,Ανεξάρτητοι,0,0
Κοζάνης,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,160561,-
Κοζάνης,ΑΚΥΡΑ,1611,-
Κοζάνης,ΛΕΥΚΑ,563,-
Κοζάνης,ΕΓΚΥΡΑ,93167,-
Κοζάνης,ΣΥΜΜΕΤΟΧΗ,95341,-
Καστοριάς,ΝΔ,14169,15452
Καστοριάς,ΣΥΡΙΖΑ-ΠΣ,6352,8338
Καστοριάς,ΠΑΣΟΚ-Κίνημα Αλλαγής,2604,2155
Καστοριάς,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,1530,839
Καστοριάς,ΝΙΚΗ,1182,0
Καστοριάς,ΚΚΕ,1154,777
Καστοριάς,ΜέΡΑ25,759,918
Καστοριάς,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,655,312
Καστοριάς,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,349,296
Καστοριάς,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,263,0
Καστοριάς,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,235,0
Καστοριάς,Κίνημα 21,179,0
Καστοριάς,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,146,116
Καστοριάς,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,144,337
Καστοριάς,ΕΑΝ...,98,0
Καστοριάς,ΑΝΤ.ΑΡ.ΣΥ.Α.,88,67
Καστοριάς,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,82,0
Καστοριάς,Τ.ΟΛ.ΜΑ,66,0
Καστοριάς,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,41,0
Καστοριάς,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,38,0
Καστοριάς,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,34,0
Καστοριάς,Ο.Κ.Δ.Ε.,31,7
Καστοριάς,ΚΚΕ (μ-λ),31,15
Καστοριάς,Μ-Λ ΚΚΕ,23,10
Καστοριάς,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,0,0
Καστοριάς,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,0,0
Καστοριάς,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Καστοριάς,ΟΑΚΚΕ,0,0
Καστοριάς,ΝΕΑ ΔΟΜΗ,0,0
Καστοριάς,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,0,0
Καστοριάς,Κ.Ο.Τ.Ε.Σ.,0,0
Καστοριάς,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Καστοριάς,SOCIAL,0,0
Καστοριάς,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,0,0
Καστοριάς,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,0,0
Καστοριάς,Ανεξάρτητοι,0,0
Καστοριάς,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,61829,-
Καστοριάς,ΑΚΥΡΑ,565,-
Καστοριάς,ΛΕΥΚΑ,202,-
Καστοριάς,ΕΓΚΥΡΑ,30250,-
Καστοριάς,ΣΥΜΜΕΤΟΧΗ,31020,-
Γρεβενών,ΝΔ,9610,9701
Γρεβενών,ΣΥΡΙΖΑ-ΠΣ,4738,6628
Γρεβενών,ΠΑΣΟΚ-Κίνημα Αλλαγής,2813,2224
Γρεβενών,ΚΚΕ,1493,1308
Γρεβενών,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,632,615
Γρεβενών,ΝΙΚΗ,542,0
Γρεβενών,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,360,189
Γρεβενών,ΜέΡΑ25,329,522
Γρεβενών,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,176,0
